Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-02-20 12:00:00+00:00,97300.421875,97334.9609375,97204.3125,97204.3125,0
2025-02-20 12:05:00+00:00,97417.890625,97417.890625,97312.1796875,97312.1796875,216979456
2025-02-20 12:10:00+00:00,97453.9140625,97453.9140625,97418.8984375,97418.8984375,0
2025-02-20 12:15:00+00:00,97437.1015625,97450.9453125,97429.0546875,97450.9453125,66807808
2025-02-20 12:20:00+00:00,97478.5234375,97478.5234375,97447.8828125,97447.8828125,726370304
2025-02-20 12:25:00+00:00,97432.8984375,97476.015625,97428.1484375,97476.015625,86898688
2025-02-20 12:30:00+00:00,97508.59375,97508.59375,97433.078125,97435.796875,61265920
2025-02-20 12:35:00+00:00,97506.859375,97506.859375,97479.6171875,97479.6171875,30541824
2025-02-20 12:40:00+00:00,97524.125,97539.109375,97524.125,97525.2265625,0
2025-02-20 12:45:00+00:00,97469.859375,97500.2734375,97469.859375,97500.2734375,803694592
2025-02-20 12:50:00+00:00,97432.6953125,97477.171875,97432.6953125,97477.171875,0
2025-02-20 12:55:00+00:00,97430.5078125,97432.6953125,97395.046875,97432.6953125,75730944
2025-02-20 13:00:00+00:00,97491.8671875,97498.53125,97437.1640625,97437.1640625,0
2025-02-20 13:05:00+00:00,97467.3203125,97481.7421875,97448.171875,97448.171875,51515392
2025-02-20 13:10:00+00:00,97435.15625,97435.15625,97419.3515625,97419.3515625,0
2025-02-20 13:15:00+00:00,97390.0546875,97420.3515625,97390.0546875,97420.3515625,14276608
2025-02-20 13:20:00+00:00,97373.7734375,97401.0390625,97365.984375,97401.0390625,0
2025-02-20 13:25:00+00:00,97422.1171875,97422.1171875,97384.859375,97384.859375,767739904
2025-02-20 13:30:00+00:00,97494.0625,97497.5625,97415.7421875,97415.7421875,30740480
2025-02-20 13:35:00+00:00,97406.1953125,97479.4375,97406.1953125,97479.4375,8683520
2025-02-20 13:40:00+00:00,97336.90625,97336.90625,97303.0859375,97304.8203125,0
2025-02-20 13:45:00+00:00,97420.5,97423.2109375,97400.1640625,97400.1640625,0
2025-02-20 13:50:00+00:00,97418.1328125,97444.9296875,97416.09375,97416.09375,8366080
2025-02-20 13:55:00+00:00,97546.59375,97546.59375,97451.796875,97451.796875,33650688
2025-02-20 14:00:00+00:00,97617.828125,97617.828125,97548.0390625,97567.1796875,0
2025-02-20 14:05:00+00:00,97721.96875,97721.96875,97673.0859375,97699.09375,0
